codigo;produto;familia;contextos;proteina_padrao;setor_default;revisar_setor
5889;TEMAKIS -JP RDZ;Rodízio;Rodízio;;SUSHI_BAR;NÃO
818;TERIYAKI;Outros;Outros | Poke Kauai;;POKE;NÃO
1397;TOMATE-AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
329;TORTILHA CHOCOLATE;Outros;Outros | Rodízio;;SUSHI_BAR;SIM
330;TORTILHA DOCE DE LEITE;Outros;Outros | Rodízio;;SUSHI_BAR;SIM
5415;TRIO DE DESGUSTAÇAO DE TACOS NIPPON;Sushi / Japonês;Sushi / Japonês;;KITCHEN;NÃO
5887;Tacos Nippom-JP RDZ;Rodízio;Rodízio;;KITCHEN;NÃO
5692;URAMAKI FILADELFIA;Sushi / Japonês;Rodízio;;SUSHI_BAR;NÃO
5473;Vulcano Brownie;Outros;Outros | Rodízio;;SUSHI_BAR;SIM
5472;Vulcano Cookie;Outros;Outros | Rodízio;;SUSHI_BAR;SIM
817;WASABI;Outros;Poke Kauai;;POKE;NÃO
5661;YAKISOBA -JP RDZ;Rodízio;Rodízio;;KITCHEN;NÃO
5423;YAKISSOBA- CAMARÃO;Peixaria / Proteínas;Peixaria / Proteínas | Rodízio;Camarão 31/40;KITCHEN;NÃO
5422;YAKISSOBA- CARNE;Peixaria / Proteínas;Peixaria / Proteínas | Rodízio;;KITCHEN;NÃO
5421;YAKISSOBA- FRANGO;Peixaria / Proteínas;Peixaria / Proteínas | Rodízio;;KITCHEN;NÃO
5420;YAKISSOBA- LEGUMES;Outros;Outros | Rodízio;;KITCHEN;NÃO
